cccd,sobaodanh,d_phuongthuc,TO,LI,HO,SI,SU,DI,VA,N1_THI,N1_CC,CNCN,CNNN,TI,KTPL,NL1,NK1,NK2,NK3,NK4,NK5,NK6
TS_12284,TS_12284,PT1,7.5,9,9,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12285,TS_12285,PT1,7,9.25,0,0,0,0,7.75,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
TS_12286,TS_12286,PT1,5.5,0,0,0,6.25,7.1,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12287,TS_12287,PT1,6.1,7.75,0,0,0,0,6.5,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0
TS_12288,TS_12288,PT1,7.5,7.25,0,0,0,0,7,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
TS_12289,TS_12289,PT1,3.85,0,0,0,8,8.75,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12290,TS_12290,PT1,7.6,9,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12291,TS_12291,PT1,4.75,0,0,0,7,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12292,TS_12292,PT1,6.5,0,0,0,0,10,7.5,6,6,0,0,0,0,0,0,0,0,0,0,0
TS_12293,TS_12293,PT1,7.1,9,8.5,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12294,TS_12294,PT1,8.5,9.5,9.25,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12295,TS_12295,PT1,6.5,0,0,0,0,10,8.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
TS_12296,TS_12296,PT1,7.5,8.75,0,0,0,0,7.5,6.75,6.75,0,0,0,0,0,0,0,0,0,0,0
TS_12297,TS_12297,PT1,5.1,6,0,0,0,0,7.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0
TS_12298,TS_12298,PT1,4.5,0,0,0,0,7.5,6.75,0,0,0,0,0,9,0,0,0,0,0,0,0
TS_12299,TS_12299,PT1,6.5,0,0,0,0,0,8.5,5.75,5.75,0,0,0,9,0,0,0,0,0,0,0
TS_12300,TS_12300,PT1,4.25,0,0,0,8,8.75,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12301,TS_12301,PT1,5.5,0,0,0,8.25,0,8,7.25,7.25,0,0,0,0,0,0,0,0,0,0,0
TS_12302,TS_12302,PT1,7,6.6,0,0,9.5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12303,TS_12303,PT1,3.85,9,0,0,0,0,6.25,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0
TS_12304,TS_12304,PT1,4.5,0,0,0,0,7.5,7.75,0,0,0,0,0,7.5,0,0,0,0,0,0,0
